Test Case,Execution Time (s),Success,HITL Triggered,Details
Get FD maturity and competitor rates for RM,11.7,Success,Yes,"{'Notify FD Maturity': {'FDMaturityDate': 'No FD Found'}, 'Compare FD Rates': {'status': 'HITL Required'}}"
Get competitor rates for FD,11.6,Success,Yes,"{'Notify FD Maturity': {'FDMaturityDate': 'No FD Found'}, 'Compare FD Rates': {'status': 'HITL Required'}}"
Get competitor rates for FD,11.63,Success,Yes,"{'Notify FD Maturity': {'FDMaturityDate': 'No FD Found'}, 'Compare FD Rates': {'status': 'HITL Required'}}"
Get FD maturity and competitor rates for RM,11.53,Success,Yes,"{'Notify FD Maturity': {'FDMaturityDate': 'No FD Found'}, 'Compare FD Rates': {'status': 'HITL Required'}}"
Analyze FX transactions for RM,0.9,Success,No,"{'Check FX Engagement': {'BalanceTrend': 'Stable', 'LastFXTransaction': '50000 on 05-05-2025'}}"
Fetch transaction and FD details for RM,0.85,Success,No,"{'Check FX Engagement': {'BalanceTrend': 'Stable', 'LastFXTransaction': '50000 on 05-05-2025'}, 'Notify FD Maturity': {'FDMaturityDate': 'No FD Found'}}"
Analyze FX transactions for RM,0.7,Success,No,"{'Check FX Engagement': {'BalanceTrend': 'Stable', 'LastFXTransaction': '50000 on 05-05-2025'}}"
Get competitor rates for FD,11.54,Success,Yes,"{'Notify FD Maturity': {'FDMaturityDate': 'No FD Found'}, 'Compare FD Rates': {'status': 'HITL Required'}}"
Analyze FX transactions for RM,0.86,Success,No,"{'Check FX Engagement': {'BalanceTrend': 'Stable', 'LastFXTransaction': '50000 on 05-05-2025'}}"
Get competitor rates for FD,11.69,Success,Yes,"{'Notify FD Maturity': {'FDMaturityDate': 'No FD Found'}, 'Compare FD Rates': {'status': 'HITL Required'}}"
Get FD maturity and competitor rates for RM,16.22,Success,Yes,"{'Notify FD Maturity': {'FDMaturityDate': 'No FD Found'}, 'Compare FD Rates': {'status': 'HITL Required'}}"
Get competitor rates for FD,20.99,Success,Yes,"{'Notify FD Maturity': {'FDMaturityDate': 'No FD Found'}, 'Compare FD Rates': {'status': 'HITL Required'}}"
Get competitor rates for FD,20.98,Success,Yes,"{'Notify FD Maturity': {'FDMaturityDate': 'No FD Found'}, 'Compare FD Rates': {'status': 'HITL Required'}}"
Get FD maturity and competitor rates for RM,21.03,Success,Yes,"{'Notify FD Maturity': {'FDMaturityDate': 'No FD Found'}, 'Compare FD Rates': {'status': 'HITL Required'}}"
Get competitor rates for FD,20.99,Success,Yes,"{'Notify FD Maturity': {'FDMaturityDate': 'No FD Found'}, 'Compare FD Rates': {'status': 'HITL Required'}}"
Fetch transaction and FD details for RM,0.95,Success,No,"{'Check FX Engagement': {'BalanceTrend': 'Stable', 'LastFXTransaction': '50000 on 05-05-2025'}, 'Notify FD Maturity': {'FDMaturityDate': 'No FD Found'}}"
Fetch transaction and FD details for RM,0.92,Success,No,"{'Check FX Engagement': {'BalanceTrend': 'Stable', 'LastFXTransaction': '50000 on 05-05-2025'}, 'Notify FD Maturity': {'FDMaturityDate': 'No FD Found'}}"
Get FD maturity and competitor rates for RM,21.0,Success,Yes,"{'Notify FD Maturity': {'FDMaturityDate': 'No FD Found'}, 'Compare FD Rates': {'status': 'HITL Required'}}"
Fetch transaction and FD details for RM,0.98,Success,No,"{'Check FX Engagement': {'BalanceTrend': 'Stable', 'LastFXTransaction': '50000 on 05-05-2025'}, 'Notify FD Maturity': {'FDMaturityDate': 'No FD Found'}}"
Analyze FX transactions for RM,0.87,Success,No,"{'Check FX Engagement': {'BalanceTrend': 'Stable', 'LastFXTransaction': '50000 on 05-05-2025'}}"
Analyze FX transactions for RM,0.93,Success,No,"{'Check FX Engagement': {'BalanceTrend': 'Stable', 'LastFXTransaction': '50000 on 05-05-2025'}}"
Fetch transaction and FD details for RM,0.76,Success,No,"{'Check FX Engagement': {'BalanceTrend': 'Stable', 'LastFXTransaction': '50000 on 05-05-2025'}, 'Notify FD Maturity': {'FDMaturityDate': 'No FD Found'}}"
Analyze FD renewals for RM,0.74,Success,No,{'Notify FD Maturity': {'FDMaturityDate': 'No FD Found'}}
Fetch transaction and FD details for RM,0.74,Success,No,"{'Check FX Engagement': {'BalanceTrend': 'Stable', 'LastFXTransaction': '50000 on 05-05-2025'}, 'Notify FD Maturity': {'FDMaturityDate': 'No FD Found'}}"
Analyze FD renewals for RM,0.69,Success,No,{'Notify FD Maturity': {'FDMaturityDate': 'No FD Found'}}
Analyze FD renewals for RM,0.73,Success,No,{'Notify FD Maturity': {'FDMaturityDate': 'No FD Found'}}
Fetch transaction and FD details for RM,0.71,Success,No,"{'Check FX Engagement': {'BalanceTrend': 'Stable', 'LastFXTransaction': '50000 on 05-05-2025'}, 'Notify FD Maturity': {'FDMaturityDate': 'No FD Found'}}"
Analyze FX transactions for RM,0.75,Success,No,"{'Check FX Engagement': {'BalanceTrend': 'Stable', 'LastFXTransaction': '50000 on 05-05-2025'}}"
Fetch transaction and FD details for RM,0.7,Success,No,"{'Check FX Engagement': {'BalanceTrend': 'Stable', 'LastFXTransaction': '50000 on 05-05-2025'}, 'Notify FD Maturity': {'FDMaturityDate': 'No FD Found'}}"
