timestamp,name,company,city,trigger,source,data_source
2025-05-28 15:24:49,"Google, Hub71",Unknown,Abu Dhabi,"Google, Hub71 partner to launch startup programme in 2025",gulfbusiness.com,REAL
2025-05-28 15:24:51,Hub71 16th,Unknown,Abu Dhabi,Hub71 16th cohort announced: Here's who made the list,gulfbusiness.com,REAL
2025-05-28 15:24:52,New Abu,Unknown,Abu Dhabi,New Abu Dhabi schemes offer Emiratis 80% startup funding,gulfbusiness.com,REAL
2025-05-28 15:24:56,EDB launches,Unknown,UAE,EDB launches Dhs1bn growth fund to boost UAE SMEs,gulfbusiness.com,REAL
2025-05-28 15:24:59,From idea,Unknown,UAE,From idea to impact: How MENA startups can stand out in a global arena,gulfbusiness.com,REAL
2025-05-28 15:25:02,UAE's Myco,Unknown,UAE,"UAE's Myco raises $10m; plans expansion, blockchain migration",gulfbusiness.com,REAL
2025-05-28 15:25:05,Khalifa Fund,Unknown,UAE,"Khalifa Fund unveils new strategy, MZN Hub to support entrepreneurs",gulfbusiness.com,REAL
2025-05-28 15:25:08,SME Archives,Unknown,UAE,SME Archives | Gulf Business,gulfbusiness.com,REAL
2025-05-28 15:25:11,UAE Ministry,Unknown,UAE,"UAE Ministry of Economy, Huawei Cloud launch startup programme",gulfbusiness.com,REAL
2025-05-28 15:25:14,New Dhs1bn,Unknown,Dubai,New Dhs1bn fund to support tech startups in Dubai - Gulf Business,gulfbusiness.com,REAL
2025-05-28 15:25:17,Omnispay secures,Unknown,Dubai,Omnispay secures US$1.5mln seed round led by Mercatus Capital - ZAWYA,www.zawya.com,REAL
2025-05-28 15:25:20,UAE sovereign,Unknown,Abu Dhabi,UAE sovereign fund ADIA backs tech firm Flyr in its $295mln capital raise,www.zawya.com,REAL
2025-05-28 15:25:23,Fuze raises,Unknown,Abu Dhabi,Fuze raises $12mln from Galaxy and e& Capital to scale its ... - ZAWYA,www.zawya.com,REAL
2025-05-28 15:25:26,Alaan hits,Unknown,UAE,"Alaan hits profitability in record time, amid rising business ... - ZAWYA",www.zawya.com,REAL
2025-05-28 15:25:29,UAE AI,Unknown,UAE,UAE AI start-up AIREV secures investment from Ireland's ... - ZAWYA,www.zawya.com,REAL
2025-05-28 15:25:32,Emirates Development,Unknown,UAE,Emirates Development Bank launches $272mln Emirates Growth Fund to ...,www.zawya.com,REAL
2025-05-28 15:25:35,HUB71 startups,Unknown,Abu Dhabi,HUB71 startups community raises $1bln in venture capital - ZAWYA,www.zawya.com,REAL
2025-05-28 15:25:38,UAE-based Ziina,Unknown,UAE,UAE-based Ziina secures $22mln funding to expand in Middle East - ZAWYA,www.zawya.com,REAL
2025-05-28 15:25:41,UAE fintech,Unknown,Dubai,UAE fintech Stake secures $14mln in Series A; backers include ... - ZAWYA,www.zawya.com,REAL
2025-05-28 15:25:44,Huspy secures,Unknown,Dubai,"Huspy secures investment round, led by Balderton Capital - ZAWYA",www.zawya.com,REAL
2025-05-28 15:25:47,Idex 2025:,Unknown,UAE,Idex 2025: UAE awards contracts worth Dh24bn in first four days of ...,www.thenationalnews.com,REAL
2025-05-28 15:25:50,Idex 2025:,Unknown,Abu Dhabi,Idex 2025: UAE awards $6.8 billion in contracts at region's biggest ...,www.thenationalnews.com,REAL
2025-05-28 15:25:53,Idex 2025:,Unknown,UAE,Idex 2025: UAE signs 13 deals worth Dh4bn on day one of biggest Middle ...,www.thenationalnews.com,REAL
2025-05-28 15:25:56,Idex 2025:,Unknown,Dubai,Idex 2025: UAE signs five deals worth Dh5.8bn on day two of defence ...,www.thenationalnews.com,REAL
2025-05-28 15:25:59,New Dubai,Unknown,Dubai,New Dubai airport expansion to drive a million jobs and housing,www.thenationalnews.com,REAL
2025-05-28 15:26:02,President Sheikh,Unknown,Abu Dhabi,President Sheikh Mohamed meets winners of 2025 Zayed Award for Human ...,www.thenationalnews.com,REAL
2025-05-28 15:26:05,Adnoc awarded,Unknown,UAE,Adnoc awarded contracts worth $17.9bn in first half of 2025,www.thenationalnews.com,REAL
2025-05-28 15:26:08,UAE water,Unknown,UAE,UAE water tech start-up wins praise at Expo 2025 in Osaka,www.thenationalnews.com,REAL
2025-05-28 15:26:11,Bangladeshi electric,Unknown,UAE,Bangladeshi electric car firm among Zayed Sustainability Prize winners,www.thenationalnews.com,REAL
2025-05-28 15:26:14,UAE's $1,Unknown,UAE,UAE's $1 million humanitarian award a 'beacon of light' in world ...,www.thenationalnews.com,REAL
2025-05-28 19:37:40,Adnan Khan,FinQ Technologies,Dubai,Raised $5M Seed round,Gulf Business,FAKE
2025-05-28 19:37:41,Meera Patel,RevaTech,Abu Dhabi,Won AI Innovation Award,Zawya Startups,FAKE
